Deployment_ID;Revision_ID;Videos ;First video;Last video;Days;Videos/days;Setup date;Revision date;Days in field;Checked;Battery;Timestamp_Issues;Animal triggered;file_path;species;favourite;Comments
A01;rev_01;6;15/7/21;15/7/21;0.12;50.23;15/7/21;3/8/21;19;;NA;;;;;;
A01;rev_02;210;3/8/21;25/8/21;21.99;9.55;3/8/21;25/8/21;22;;NA;;;;;;
A01;rev_03;177;25/8/21;10/9/21;16.04;11.04;25/8/21;10/9/21;16;;NA;;;;;;
A02;rev_01;68;15/7/21;3/8/21;19.37;3.51;15/7/21;3/8/21;19;;NA;T;;;;;
A02;rev_02;1003;3/8/21;6/8/21;3.22;311.95;3/8/21;25/8/21;22;;NA;;;;;;
A02;rev_03;1003;25/8/21;8/9/21;14.26;70.34;25/8/21;10/9/21;16;;NA;;;;;;
A02;rev_04;21;10/9/21;27/9/21;17.03;1.23;10/9/21;27/9/21;17;;NA;;;;;;
A02;rev_05;11;27/9/21;8/10/21;10.96;1.00;27/9/21;8/10/21;11;;NA;;;;;;
A03;rev_01;175;15/7/21;23/7/21;8.21;21.31;15/7/21;3/8/21;19;;NA;;;;;;
A03;rev_02;0;;;0.00;;3/8/21;25/8/21;22;;NA;;;;;;
A03;rev_03;0;;;0.00;;25/8/21;10/9/21;16;;NA;;;;;;
A03;rev_04;91;10/9/21;17/9/21;7.14;12.74;10/9/21;27/9/21;17;;NA;;;;;;
A03;rev_05;1;27/9/21;27/9/21;0.00;;27/9/21;8/10/21;11;;NA;;;;;;
A04;rev_01;420;15/7/21;3/8/21;18.92;22.20;15/7/21;3/8/21;19;;NA;;;;;;
A04;rev_02;63;3/8/21;25/8/21;21.99;2.87;3/8/21;25/8/21;22;;NA;;;;;;
A04;rev_03;43;25/8/21;25/8/21;0.00;;25/8/21;10/9/21;16;;NA;;;;;;
A04;rev_04;12;10/9/21;27/9/21;17.04;0.70;10/9/21;27/9/21;17;;NA;;;;;;
A05;rev_01;1274;15/7/21;1/8/21;17.03;74.83;15/7/21;3/8/21;19;;NA;;;;;;
A05;rev_02;0;;;0.00;;3/8/21;25/8/21;22;;NA;;;;;;
A05;rev_03;309;25/8/21;9/9/21;15.14;20.41;25/8/21;10/9/21;16;;NA;;;;;;
A05;rev_04;68;10/9/21;26/9/21;16.07;4.23;10/9/21;27/9/21;17;;NA;;;;;;
A05;rev_05;24;27/9/21;7/10/21;9.98;2.41;27/9/21;8/10/21;11;;NA;;;;;;
A05;rev_06;29;8/10/21;21/10/21;12.73;2.28;8/10/21;21/10/21;13;;NA;;;;;;
A05;rev_07;59;21/10/21;2/11/21;11.91;4.95;21/10/21;3/11/21;13;;NA;;;;;;
A05;rev_08;310;3/11/21;17/11/21;14.20;21.82;3/11/21;18/11/21;15;;NA;;;;;;
A06;rev_01;547;15/7/21;25/7/21;10.17;53.78;15/7/21;3/8/21;19;;NA;;;;;;
A06;rev_02;549;3/8/21;7/8/21;4.23;129.86;3/8/21;25/8/21;22;;NA;;;;;;
A06;rev_03;120;25/8/21;28/8/21;3.20;37.44;25/8/21;10/9/21;16;;NA;;;;;;
A06;rev_04;37;10/9/21;27/9/21;16.94;2.18;10/9/21;27/9/21;17;;NA;;;;;;
A06;rev_05;10;27/9/21;8/10/21;10.96;0.91;27/9/21;8/10/21;11;;NA;;;;;;
A06;rev_06;14;8/10/21;21/10/21;12.90;1.09;8/10/21;21/10/21;13;;NA;;;;;;
A06;rev_07;31;21/10/21;3/11/21;13.00;2.39;21/10/21;3/11/21;13;;NA;;;;;;
A07;rev_01;293;15/7/21;3/8/21;18.88;15.52;15/7/21;3/8/21;19;;NA;;;;;;
A07;rev_02;60;3/8/21;25/8/21;22.01;2.73;3/8/21;25/8/21;22;;NA;;;;;;
A07;rev_03;564;25/8/21;10/9/21;15.80;35.70;25/8/21;10/9/21;16;;NA;;;;;;
A07;rev_04;4;10/9/21;27/9/21;17.05;0.23;10/9/21;27/9/21;17;;NA;;;;;;
A08;rev_01;570;15/7/21;19/7/21;4.24;134.43;15/7/21;3/8/21;19;;NA;T;;;;;
A08;rev_02;564;3/8/21;5/8/21;2.27;248.98;3/8/21;25/8/21;22;;NA;;;;;;
A08;rev_03;493;25/8/21;31/8/21;6.12;80.51;25/8/21;10/9/21;16;;NA;;;;;;
A08;rev_04;75;10/9/21;26/9/21;16.09;4.66;10/9/21;27/9/21;17;;NA;;;;;;
A08;rev_05;21;27/9/21;8/10/21;10.95;1.92;27/9/21;8/10/21;11;;NA;;;;;;
A08;rev_06;35;8/10/21;20/10/21;12.16;2.88;8/10/21;21/10/21;13;;NA;;;;;;
A08;rev_07;13;21/10/21;3/11/21;13.00;1.00;21/10/21;3/11/21;13;;NA;;;;;;
A08;rev_08;46;3/11/21;18/11/21;15.00;3.07;3/11/21;18/11/21;15;;NA;;;;;;
A09;rev_01;0;;;0.00;;15/7/21;3/8/21;19;;NA;;;;;;
A09;rev_02;62;3/8/21;7/8/21;4.02;15.43;3/8/21;25/8/21;22;;NA;;;;;;
A09;rev_03;0;;;0.00;;25/8/21;10/9/21;16;;NA;;;;;;
A09;rev_04;0;;;0.00;;10/9/21;27/9/21;17;;NA;;;;;;
A09;rev_06;0;;;0.00;;8/10/21;21/10/21;13;;NA;;;;;;
A09;rev_07;39;21/10/21;1/11/21;10.92;3.57;21/10/21;3/11/21;13;;NA;;;;;;
A09;rev_08;69;4/11/21;17/11/21;13.30;5.19;3/11/21;18/11/21;15;;NA;;;;;;
A10;rev_01;25;15/7/21;24/7/21;9.09;2.75;15/7/21;3/8/21;19;;NA;;;;;;
A10;rev_02;17;31/12/17;10/1/18;9.37;1.81;3/8/21;25/8/21;22;;NA;T;;;;;
A10;rev_03;19;31/12/17;11/1/18;10.32;1.84;25/8/21;10/9/21;16;;NA;T;;;;;
A10;rev_04;13;2/1/18;10/1/18;7.92;1.64;10/9/21;27/9/21;17;;NA;T;;;;;
A10;rev_05;4;31/12/17;2/1/18;1.33;3.01;27/9/21;8/10/21;11;;NA;;;;;;
A11;rev_01;36;17/7/21;3/8/21;16.73;2.15;15/7/21;3/8/21;19;;NA;;;;;;
A11;rev_02;15;3/8/21;22/8/21;19.02;0.79;3/8/21;25/8/21;22;;NA;;;;;;
A11;rev_03;0;;;0.00;;25/8/21;10/9/21;16;;NA;;;;;;
A11;rev_04;6;10/9/21;27/9/21;17.05;0.35;10/9/21;27/9/21;17;;NA;;;;;;
A11;rev_05;23;27/9/21;8/10/21;10.96;2.10;27/9/21;8/10/21;11;;NA;;;;;;
A11;rev_06;33;8/10/21;21/10/21;12.85;2.57;8/10/21;21/10/21;13;;NA;;;;;;
A11;rev_07;17;22/10/21;3/11/21;12.24;1.39;21/10/21;3/11/21;13;;NA;;;;;;
A11;rev_08;29;5/11/21;18/11/21;12.85;2.26;3/11/21;18/11/21;15;;NA;;;;;;
A12;rev_01;396;15/7/21;21/7/21;6.04;65.58;15/7/21;3/8/21;19;;NA;;;;;;
A12;rev_02;0;;;0.00;;3/8/21;25/8/21;22;;NA;;;;;;
A12;rev_03;198;25/8/21;29/8/21;4.06;48.81;25/8/21;10/9/21;16;;NA;;;;;;
A12;rev_04;0;;;0.00;;10/9/21;27/9/21;17;;NA;;;;;;
A12;rev_05;0;;;0.00;;27/9/21;8/10/21;11;;NA;;;;;;
A12;rev_06;0;;;0.00;;8/10/21;21/10/21;13;;NA;;;;;;
A12;rev_07;19;1/1/15;13/1/15;12.13;1.57;21/10/21;3/11/21;13;;NA;T;;;;;
A12;rev_08;53;14/1/15;29/1/15;14.93;3.55;3/11/21;18/11/21;15;;NA;;;;;;
A13;rev_01;567;15/7/21;3/8/21;18.98;29.88;15/7/21;3/8/21;19;;NA;T;;;;;
A13;rev_02;201;3/8/21;25/8/21;21.83;9.21;3/8/21;25/8/21;22;;NA;;;;;;
A13;rev_03;30;25/8/21;10/9/21;16.04;1.87;25/8/21;10/9/21;16;;NA;;;;;;
A14;rev_01;18;15/7/21;3/8/21;18.58;0.97;15/7/21;3/8/21;19;;NA;;;;;;
A14;rev_02;9;3/8/21;25/8/21;22.02;0.41;3/8/21;25/8/21;22;;NA;;;;;;
A14;rev_03;0;;;0.00;;25/8/21;10/9/21;16;;NA;;;;;;
A14;rev_04;4;11/9/21;26/9/21;14.70;0.27;10/9/21;27/9/21;17;;NA;;;;;;
A15;rev_01;576;15/7/21;25/7/21;10.02;57.46;15/7/21;3/8/21;19;;NA;;;;;;
A15;rev_02;531;3/8/21;8/8/21;5.27;100.77;3/8/21;25/8/21;22;;NA;;;;;;
A15;rev_03;513;25/8/21;31/8/21;6.04;84.93;25/8/21;10/9/21;16;;NA;;;;;;
A15;rev_04;266;10/9/21;27/9/21;16.96;15.69;10/9/21;27/9/21;17;;NA;;;;;;
A16;rev_01;14;15/7/21;3/8/21;18.45;0.76;15/7/21;3/8/21;19;;NA;;;;;;
A16;rev_02;18;3/8/21;21/8/21;18.21;0.99;3/8/21;25/8/21;22;;NA;;;;;;
A16;rev_03;0;;;0.00;;25/8/21;10/9/21;16;;NA;;;;;;
A17;rev_01;510;15/7/21;2/8/21;18.15;28.10;15/7/21;3/8/21;19;;NA;;;;;;
A17;rev_02;146;3/8/21;24/8/21;21.21;6.88;3/8/21;25/8/21;22;;NA;;;;;;
A17;rev_03;2;26/8/21;26/8/21;0.03;77.84;25/8/21;10/9/21;16;;NA;;;;;;
A17;rev_04;39;10/9/21;27/9/21;17.05;2.29;10/9/21;27/9/21;17;;NA;;;;;;
A17;rev_05;14;28/9/21;8/10/21;9.77;1.43;27/9/21;8/10/21;11;;NA;;;;;;
A17;rev_06;0;;;0.00;;8/10/21;21/10/21;13;;NA;;;;;;
A17;rev_07;8;21/10/21;31/10/21;10.41;0.77;21/10/21;3/11/21;13;;NA;;;;;;
A17;rev_08;19;3/11/21;18/11/21;14.97;1.27;3/11/21;18/11/21;15;;NA;;;;;;
A18;rev_01;159;15/7/21;17/7/21;2.17;73.24;15/7/21;3/8/21;19;;NA;;;;;;
A18;rev_02;0;;;0.00;;3/8/21;25/8/21;22;;NA;;;;;;
A18;rev_03;0;;;0.00;;25/8/21;10/9/21;16;;NA;;;;;;
A18;rev_04;0;;;0.00;;10/9/21;27/9/21;17;;NA;;;;;;
A18;rev_05;0;;;0.00;;27/9/21;8/10/21;11;;NA;;;;;;
A18;rev_06;19;8/10/21;9/10/21;1.35;14.02;8/10/21;21/10/21;13;;NA;;;;;;
A18;rev_07;0;;;0.00;;21/10/21;3/11/21;13;;NA;;;;;;
A18;rev_08;0;;;0.00;;3/11/21;18/11/21;15;;NA;;;;;;
A19;rev_01;578;15/7/21;19/7/21;4.29;134.72;15/7/21;3/8/21;19;;NA;;;;;;
A19;rev_02;511;3/8/21;3/8/21;0.35;1440.00;3/8/21;25/8/21;22;;NA;;;;;;
A19;rev_03;0;;;0.00;;25/8/21;10/9/21;16;;NA;;;;;;
A19;rev_04;574;10/9/21;11/9/21;1.17;489.67;10/9/21;27/9/21;17;;NA;;;;;;
A19;rev_05;598;27/9/21;7/10/21;10.12;59.07;27/9/21;8/10/21;11;;NA;;;;;;
A19;rev_06;384;8/10/21;21/10/21;12.86;29.86;8/10/21;21/10/21;13;;NA;;;;;;
A19;rev_07;68;2/11/21;2/11/21;0.00;;21/10/21;3/11/21;13;;NA;;;;;;
A20;rev_01;899;15/7/21;22/7/21;7.24;124.21;15/7/21;3/8/21;19;;NA;;;;;;
A20;rev_02;95;3/8/21;5/8/21;2.09;45.37;3/8/21;25/8/21;22;;NA;;;;;;
A20;rev_03;0;;;0.00;;25/8/21;10/9/21;16;;NA;;;;;;
A20;rev_04;137;11/9/21;26/9/21;15.26;8.98;10/9/21;27/9/21;17;;NA;;;;;;
A20;rev_05;17;27/9/21;5/10/21;8.15;2.09;27/9/21;8/10/21;11;;NA;;;;;;
A21;rev_01;0;;;0.00;;15/7/21;3/8/21;19;;NA;;;;;;
A21;rev_02;73;3/8/21;25/8/21;21.25;3.43;3/8/21;25/8/21;22;;NA;;;;;;
A21;rev_03;34;26/8/21;10/9/21;14.88;2.29;25/8/21;10/9/21;16;;NA;;;;;;
A21;rev_04;31;10/9/21;26/9/21;16.04;1.93;10/9/21;27/9/21;17;;NA;;;;;;
A21;rev_05;31;8/10/21;8/10/21;0.00;;27/9/21;8/10/21;11;;NA;;;;;;
A21;rev_06;24;8/10/21;21/10/21;12.86;1.87;8/10/21;21/10/21;13;;NA;;;;;;
A21;rev_07;19;21/10/21;2/11/21;12.16;1.56;21/10/21;3/11/21;13;;NA;;;;;;
A21;rev_08;39;3/11/21;17/11/21;14.15;2.76;3/11/21;18/11/21;15;;NA;;;;;;
A22;rev_01;161;15/7/21;3/8/21;18.98;8.48;15/7/21;3/8/21;19;;NA;T;;;;;
A22;rev_02;56;3/8/21;24/8/21;20.76;2.70;3/8/21;25/8/21;22;;NA;;;;;;
A22;rev_03;146;25/8/21;10/9/21;15.53;9.40;25/8/21;10/9/21;16;;NA;;;;;;
A22;rev_04;35;10/9/21;25/9/21;15.17;2.31;10/9/21;27/9/21;17;;NA;;;;;;
A23;rev_01;575;15/7/21;2/8/21;18.42;31.22;15/7/21;3/8/21;19;;NA;;;;;;
A23;rev_02;587;3/8/21;8/8/21;5.11;114.80;3/8/21;25/8/21;22;;NA;;;;;;
A23;rev_03;463;25/8/21;28/8/21;3.21;144.28;25/8/21;10/9/21;16;;NA;;;;;;
A23;rev_04;605;10/9/21;20/9/21;10.09;59.98;10/9/21;27/9/21;17;;NA;;;;;;
A24;rev_01;63;15/7/21;3/8/21;18.90;3.33;15/7/21;3/8/21;19;;NA;;;;;;
A24;rev_02;35;3/8/21;24/8/21;20.87;1.68;3/8/21;25/8/21;22;;NA;;;;;;
A24;rev_03;6;30/8/21;7/9/21;7.39;0.81;10/9/21;10/9/21;0;;NA;;;;;;
A24;rev_04;3;12/9/21;27/9/21;14.78;0.20;10/9/21;27/9/21;17;;NA;;;;;;
A24;rev_05;4;27/9/21;4/10/21;6.96;0.57;27/9/21;8/10/21;11;;NA;;;;;;
Aspa001_30;rev_01;134;18/11/21;30/11/21;12.92;10.37;18/11/21;1/12/21;13;;100;F;;;;;
Aspa001_30;rev_02;100;30/11/21;15/12/21;14.93;6.70;1/12/21;15/12/21;14;;100;F;;;;;
Aspa001_30;rev_03;133;15/12/21;13/1/22;28.13;4.73;15/12/21;13/1/22;29;;100;F;;;;;
Aspa002_32;rev_01;33;18/11/21;30/11/21;12.92;2.55;18/11/21;1/12/21;13;;100;F;;;;;
Aspa002_32;rev_02;228;1/12/21;15/12/21;14.01;16.28;1/12/21;15/12/21;14;;100;F;;;;;
Aspa002_32;rev_03;342;15/12/21;13/1/22;28.12;12.16;15/12/21;13/1/22;29;;100;F;;;;;
Aspa003_28;rev_01;305;18/11/21;19/11/21;0.98;312.60;18/11/21;1/12/21;13;;0;F;;;;;
Aspa003_28;rev_02;399;1/12/21;5/12/21;4.05;98.59;1/12/21;15/12/21;14;;0;F;;;;;
Aspa003_28;rev_03;49;15/12/21;23/12/21;7.13;6.87;15/12/21;13/1/22;29;;;T;;;;;
Aspa004_36;rev_04;269;12/1/22;26/1/22;13.99;19.23;13/1/22;26/1/22;13;;8;F;;;;;
Aspa004_36;rev_05;146;26/1/22;9/2/22;13.85;10.54;26/1/22;9/2/22;14;;100;F;;;;;
Aspa004_36;rev_06;182;9/2/22;22/2/22;13.06;13.93;9/2/22;22/2/22;13;;100;F;;;;;
Aspa005_36;rev_01;307;18/11/21;1/12/21;13.04;23.55;18/11/21;1/12/21;13;;90;F;;;;;
Aspa005_36;rev_02;224;1/12/21;15/12/21;13.91;16.10;1/12/21;15/12/21;14;;66;F;;;;;
Aspa005_36;rev_03;392;15/12/21;12/1/22;28.04;13.98;15/12/21;13/1/22;29;;35;F;;;;;
Aspa006_35;rev_01;579;18/11/21;26/11/21;8.06;71.83;18/11/21;1/12/21;13;;90;F;;;;;
Aspa006_35;rev_02;302;1/12/21;15/12/21;13.92;21.70;1/12/21;15/12/21;14;;65;F;;;;;
Aspa006_35;rev_03;95;15/12/21;12/1/22;28.05;3.39;15/12/21;13/1/22;29;;54;F;;;;;
Aspa007_34;rev_01;339;18/11/21;1/12/21;13.05;25.99;18/11/21;1/12/21;13;;100;F;;;;;
Aspa007_34;rev_02;595;1/12/21;4/12/21;3.11;191.34;1/12/21;15/12/21;14;;100;F;;;;;
Aspa007_34;rev_03;102;15/12/21;12/1/22;28.05;3.64;15/12/21;13/1/22;29;;97;F;;;;;
Aspa008_06;rev_01;420;23/11/21;30/11/21;7.04;59.64;18/11/21;1/12/21;13;;;F;;;;;
Aune_001_19;rev_01;399;26/10/21;27/10/21;1.00;399.00;26/10/21;9/11/21;14;;59;F;;;;;This arbutus was the first and only one we set in the begenning (alone in rev1 ). 
Aune_001_19;rev_02;511;9/11/21;17/11/21;7.96;64.16;9/11/21;23/11/21;14;;100;F;;;;;
Aune_001_19;rev_04;502;23/11/21;3/12/21;9.86;50.91;23/11/21;10/12/21;17;;100;F;;;;;
Aune_001_19;rev_06;443;10/12/21;25/12/21;15.15;29.24;10/12/21;12/1/22;33;;100;F;;;;;
Aune_002_31;rev_02;141;9/11/21;23/11/21;13.96;10.10;9/11/21;23/11/21;14;;53;F;;;;;
Aune_002_31;rev_04;562;23/11/21;8/12/21;15.12;37.16;23/11/21;10/12/21;17;;100;F;;;;;
Aune_002_31;rev_06;293;10/12/21;12/1/22;33.08;8.86;15/12/21;12/1/22;28;;90;F;;;;;
Aune_003_25;rev_02;107;9/11/21;23/11/21;13.96;7.67;9/11/21;23/11/21;14;;70;F;;;;;
Aune_003_25;rev_04;548;23/11/21;10/12/21;16.87;32.48;23/11/21;10/12/21;17;;45;F;;;;;
Aune_003_25;rev_06;569;10/12/21;12/1/22;33.08;17.20;15/12/21;12/1/22;28;;17;F;;;;;
Aune_003_25;rev_07;524;12/1/22;25/1/22;13.31;39.38;12/1/22;26/1/22;14;;100;F;;;;;
Aune_003_25;rev_08;478;26/1/22;2/2/22;6.83;70.03;26/1/22;9/2/22;14;;80;F;;;;;
Aune_003_25;rev_09;460;9/2/22;13/2/22;4.16;110.70;9/2/22;22/2/22;13;;51;F;;;;;
Aune_003_25;rev_10;590;2/2/22;4/3/22;30.09;19.61;22/2/22;17/3/22;23;;35;F;;;;;
Aune_003_33;rev_04;173;23/11/21;9/12/21;16.12;10.73;23/11/21;10/12/21;17;;40;F;;;;;
Aune_003_33;rev_06;26;10/12/21;12/1/22;32.98;0.79;15/12/21;12/1/22;28;;25;F;;;;;
Aune_003_33;rev_07;24;12/1/22;26/1/22;14.09;1.70;12/1/22;26/1/22;14;;100;F;;;;;
Aune_003_33;rev_08;35;27/1/22;9/2/22;12.97;2.70;26/1/22;9/2/22;14;;100;F;;;;;
Aune_003_33;rev_09;42;9/2/22;22/2/22;13.01;3.23;9/2/22;22/2/22;13;;100;F;;;;;
Aune_003_33;rev_10;67;22/2/22;17/3/22;22.97;2.92;22/2/22;17/3/22;23;;66;F;;;;;
Aune_004_01;rev_03;373;23/11/21;25/11/21;1.94;191.90;23/11/21;1/12/21;8;;54;F;;;;;
Aune_004_01;rev_04;366;1/12/21;2/12/21;0.99;370.37;23/11/21;10/12/21;17;;0;F;;;;;
Aune_004_01;rev_05;441;10/12/21;11/12/21;1.16;379.58;1/12/21;15/12/21;14;;0;F;;;;;
Aune_004_01;rev_06;469;15/12/21;16/12/21;1.28;366.45;15/12/21;12/1/22;28;;66;F;;;;;
Aune_005_44;rev_04;52;1/12/21;9/12/21;7.80;6.67;23/11/21;10/12/21;17;;30;F;;;;;
Aune_005_44;rev_06;729;31/12/21;1/1/22;0.37;1958.51;15/12/21;12/1/22;28;;75;F;;;;;Problemas con el formato de video
Aune_005_44;rev_07;1131;12/1/22;26/1/22;14.07;80.39;12/1/22;26/1/22;14;;75;F;;;;;
Aune_005_44;rev_08;844;26/1/22;6/2/22;11.02;76.59;26/1/22;9/2/22;14;;0;F;;;;;
Aune_005_44;rev_09;1231;9/2/22;22/2/22;13.01;94.63;9/2/22;22/2/22;13;;25;F;;;;;
Aune_005_45;rev_04;0;1/12/21;1/12/21;0.00;0.00;23/11/21;10/12/21;17;;25;F;;;;;
Aune_005_45;rev_06;134;10/12/21;12/1/22;32.72;4.10;15/12/21;12/1/22;28;;75;F;;;;;Problemas con la tarjeta. Sale un RUBUS!!!
Aune_005_45;rev_07;854;12/1/22;21/1/22;9.19;92.89;12/1/22;26/1/22;14;;0;F;;;;;
Aune_005_45;rev_08;270;26/1/22;9/2/22;13.89;19.43;26/1/22;9/2/22;14;;0;F;;;;;
Aune_005_45;rev_09;168;9/2/22;17/2/22;8.00;20.99;9/2/22;22/2/22;13;;0;F;;;;;
Aune_006_46;rev_04;62;1/12/21;10/12/21;8.79;7.06;23/11/21;10/12/21;17;;100;F;;;;;
Aune_006_46;rev_06;135;10/12/21;11/1/22;32.26;4.18;15/12/21;12/1/22;28;;;F;;;;;Problemas con el formato de video y fecha
Aune_007_19;rev_07;427;12/1/22;26/1/22;14.09;30.31;12/1/22;26/1/22;14;;75;F;;;;;
Aune_007_19;rev_08;349;26/1/22;9/2/22;13.90;25.11;26/1/22;9/2/22;14;;79;F;;;;;
Aune_007_19;rev_09;50;9/2/22;22/2/22;13.01;3.84;9/2/22;22/2/22;13;;49;F;;;;;
Aune_007_19;rev_10;31;22/2/22;17/3/22;23.04;1.35;22/2/22;17/3/22;23;;80;F;;;;;
Aune_007_31;rev_07;376;12/1/22;26/1/22;14.05;26.76;12/1/22;26/1/22;14;;55;F;;;;;
Aune_007_31;rev_08;264;26/1/22;9/2/22;13.90;19.00;26/1/22;9/2/22;14;;80;F;;;;;
Aune_007_31;rev_09;116;9/2/22;22/2/22;13.01;8.92;9/2/22;22/2/22;13;;35;F;;;;;
Aune_007_31;rev_10;118;22/2/22;17/3/22;23.04;5.12;22/2/22;17/3/22;23;;33;F;;;;;
Joxy001_21;rev_01;51;16/12/21;13/1/22;27.79;1.83;16/12/21;13/1/22;28;;100;T;;;;;
Joxy001_21;rev_02;50;28/1/20;15/2/20;18.00;2.78;13/1/22;31/1/22;18;;100;;;;;;
Joxy001_21;rev_03;31;31/1/22;23/2/22;23.01;1.35;31/1/22;22/2/22;22;;100;;;;;;
Joxy001_21;rev_04;189;21/2/22;29/3/22;35.85;5.27;22/2/22;29/3/22;35;;99;;;;;;
Joxy001_21;rev_05;420;29/3/22;3/5/22;35.03;11.99;29/3/22;3/5/22;35;;57;;;;;;
Joxy002_11;rev_01;62;16/12/21;13/1/22;27.84;2.23;16/12/21;13/1/22;28;;49;;;;;;
Joxy002_11;rev_02;15;13/1/22;31/1/22;18.00;0.83;13/1/22;31/1/22;18;;50;;;;;;
Joxy002_11;rev_03;132;31/1/22;22/2/22;22.16;5.96;31/1/22;22/2/22;22;;64;;;;;;
Joxy002_11;rev_04;559;22/2/22;29/3/22;34.85;16.04;22/2/22;29/3/22;35;;39;;;;;;
Joxy002_11;rev_05;501;29/3/22;31/3/22;2.37;211.32;29/3/22;3/5/22;35;;96;;;;;;
Joxy003_08;rev_01;156;16/12/21;13/1/22;27.88;5.60;16/12/21;13/1/22;28;;59;;;;;;
Joxy003_08;rev_02;27;13/1/22;31/1/22;18.00;1.50;13/1/22;31/1/22;18;;56;;;;;;
Joxy003_08;rev_03;262;31/1/22;22/2/22;22.17;11.82;31/1/22;22/2/22;22;;64;;;;;;
Joxy003_08;rev_04;762;22/2/22;7/3/22;13.03;58.49;22/2/22;29/3/22;35;;30;;;;;;
Joxy003_08;rev_05;528;29/3/22;31/3/22;2.30;229.70;29/3/22;3/5/22;35;;59;;;;;;
Joxy004_37;rev_01;12;16/12/21;13/1/22;27.85;0.43;16/12/21;13/1/22;28;;100;;;;;;
